matrix_type,solver,solver_family,sigma,repeat,image_idx,image_name,data_source,seed,status,solve_success,hit_iteration_cap,error_message,failed_blocks,psnr_db,mse,relative_error,relative_residual,condition_number,time_ms,gs_avg_iters,gs_hit_max_ratio,gmres_avg_iters,gmres_hit_max_ratio
dense,gauss_seidel,iterative,0.0,0,6,kodak_kodim07,benchmark,42,iter_limit,True,True,,0,99.0,1.643356855330893e-16,2.832800596690664e-08,2.5477769262488417e-08,2.5107067648455232,5416.6177,21.37890625,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,6,kodak_kodim07,benchmark,42,ok,True,False,,0,99.0,6.027194812880419e-18,5.447690988340052e-09,4.197344635510699e-09,2.5107067648455232,380.1012,0.0,0.0,16.0,0.0
dense,np_solve,baseline,0.0,0,6,kodak_kodim07,benchmark,42,ok,True,False,,0,99.0,5.3834016657414e-32,5.128140074753888e-16,4.634350314378637e-16,2.5107067648455232,7.3352,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,7,kodak_kodim08,benchmark,42,ok,True,False,,0,99.0,7.162643146812566e-32,5.038831750432279e-16,4.513861239438684e-16,2.5107067648455232,1287.743,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,7,kodak_kodim08,benchmark,42,ok,True,False,,0,99.0,4.974300970268531e-32,4.202159876565247e-16,3.7988165621776095e-16,2.5107067648455232,271.4268,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,7,kodak_kodim08,benchmark,42,iter_limit,True,True,,0,99.0,1.1909200458719622e-16,2.032287660135389e-08,1.8281546598440754e-08,2.5107067648455232,5499.2986,21.57421875,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,7,kodak_kodim08,benchmark,42,ok,True,False,,0,99.0,9.279031674894897e-18,5.71388827998012e-09,4.502108146371797e-09,2.5107067648455232,367.4056,0.0,0.0,15.984375,0.0
dense,np_solve,baseline,0.0,0,7,kodak_kodim08,benchmark,42,ok,True,False,,0,99.0,7.426166280079424e-32,5.115141114496594e-16,4.610426644241055e-16,2.5107067648455232,6.5228,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,8,kodak_kodim09,benchmark,42,ok,True,False,,0,99.0,7.572243376203532e-32,5.134544966096319e-16,4.64043816081581e-16,2.5107067648455232,1317.5675,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,8,kodak_kodim09,benchmark,42,ok,True,False,,0,99.0,5.117031251059376e-32,4.2199301141941876e-16,3.8243830095662694e-16,2.5107067648455232,268.6129,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,8,kodak_kodim09,benchmark,42,iter_limit,True,True,,0,99.0,3.015819897449809e-16,3.23793876355893e-08,2.9351653225301853e-08,2.5107067648455232,5067.487,21.22265625,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,8,kodak_kodim09,benchmark,42,ok,True,False,,0,99.0,8.70595058205827e-18,5.506340522140512e-09,4.2068320986927696e-09,2.5107067648455232,358.7061,0.0,0.0,15.98828125,0.0
dense,np_solve,baseline,0.0,0,8,kodak_kodim09,benchmark,42,ok,True,False,,0,99.0,7.72569928422289e-32,5.187080814487532e-16,4.714433039816884e-16,2.5107067648455232,6.803,0.0,0.0,0.0,0.0
