matrix_type,sigma,repeat,image_idx,image_name,solver,baseline_solver,delta_psnr_db,delta_mse,delta_relative_error,delta_relative_residual,delta_time_ms
dense,0.0,1,3,kodak_kodim04,gmres,np_solve,0.0,4.643648872741471e-18,5.26343133825364e-09,4.054147729897417e-09,387.5276
dense,0.0,1,4,kodak_kodim05,gaussian,np_solve,0.0,-6.354752578981883e-34,-4.640312184748656e-18,-1.0879573319554171e-17,1328.8319999999999
dense,0.0,1,4,kodak_kodim05,lu,np_solve,0.0,-1.2227205439256959e-32,-9.25563715374921e-17,-8.449616271270238e-17,249.0838
dense,0.0,1,4,kodak_kodim05,gauss_seidel,np_solve,0.0,3.678770228886098e-17,1.6160095572916695e-08,1.4497676476590457e-08,5594.207600000001
dense,0.0,1,4,kodak_kodim05,gmres,np_solve,0.0,4.305833520742601e-18,5.539845049604815e-09,4.40026822869657e-09,377.7419
dense,0.0,1,5,kodak_kodim06,gaussian,np_solve,0.0,-4.460224871417311e-33,-1.2903927745275646e-17,-1.0417279413512659e-17,1366.3020999999999
dense,0.0,1,5,kodak_kodim06,lu,np_solve,0.0,-3.217317636518982e-32,-1.0199109275155291e-16,-8.697382599999259e-17,259.783
dense,0.0,1,5,kodak_kodim06,gauss_seidel,np_solve,0.0,3.2038038540337867e-16,3.108461184545276e-08,2.812742825146267e-08,5487.8409
dense,0.0,1,5,kodak_kodim06,gmres,np_solve,0.0,8.807260592974472e-18,5.160533295315074e-09,3.970777492334773e-09,380.639
dense,0.0,1,6,kodak_kodim07,gaussian,np_solve,0.0,-7.249821468509934e-34,-3.3915873194103644e-18,-5.3285874290296235e-18,1328.258
dense,0.0,1,6,kodak_kodim07,lu,np_solve,0.0,-1.7318384761647322e-32,-9.042814408168807e-17,-8.42241290830026e-17,250.46050000000002
dense,0.0,1,6,kodak_kodim07,gauss_seidel,np_solve,0.0,1.6433568553308926e-16,2.832800545409263e-08,2.5477768799053385e-08,5496.3285
dense,0.0,1,6,kodak_kodim07,gmres,np_solve,0.0,6.027194812880365e-18,5.447690475526045e-09,4.197344172075668e-09,385.2586
dense,0.0,1,7,kodak_kodim08,gaussian,np_solve,0.0,-2.6352313326685834e-33,-7.63093640643143e-18,-9.656540480237097e-18,1356.1242
dense,0.0,1,7,kodak_kodim08,lu,np_solve,0.0,-2.4518653098108935e-32,-9.129812379313468e-17,-8.116100820634456e-17,257.613
dense,0.0,1,7,kodak_kodim08,gauss_seidel,np_solve,0.0,1.1909200458719615e-16,2.0322876089839778e-08,1.828154613739809e-08,5590.9635
dense,0.0,1,7,kodak_kodim08,gmres,np_solve,0.0,9.279031674894823e-18,5.713887768466009e-09,4.502107685329133e-09,372.06
dense,0.0,1,8,kodak_kodim09,gaussian,np_solve,0.0,-1.5345590801935899e-33,-5.253584839121267e-18,-7.399487900107367e-18,1350.8393
dense,0.0,1,8,kodak_kodim09,lu,np_solve,0.0,-2.6086680331635144e-32,-9.67150700293344e-17,-8.900500302506143e-17,245.7639
dense,0.0,1,8,kodak_kodim09,gauss_seidel,np_solve,0.0,3.015819897449808e-16,3.237938711688122e-08,2.9351652753858547e-08,5379.801799999999
dense,0.0,1,8,kodak_kodim09,gmres,np_solve,0.0,8.705950582058193e-18,5.5063400034324304e-09,4.206831627249465e-09,385.0937
dense,0.0,1,9,kodak_kodim10,gaussian,np_solve,0.0,-1.59983265040345e-33,-6.212211160541549e-18,-5.992609641114287e-18,1335.9614
dense,0.0,1,9,kodak_kodim10,lu,np_solve,0.0,-2.152218253295705e-32,-9.249644070461123e-17,-8.33568796050142e-17,249.85000000000002
dense,0.0,1,9,kodak_kodim10,gauss_seidel,np_solve,0.0,2.1175290857836562e-16,2.923064709455222e-08,2.6448434437658144e-08,5474.6895
dense,0.0,1,9,kodak_kodim10,gmres,np_solve,0.0,7.290848452759935e-18,5.431300274613784e-09,4.145960837965889e-09,369.5756
dense,0.0,1,10,kodak_kodim11,gaussian,np_solve,0.0,-9.54189113256554e-34,-5.850610689569621e-18,-6.663058790397799e-18,1319.5147
dense,0.0,1,10,kodak_kodim11,lu,np_solve,0.0,-1.2850415775346753e-32,-8.727991915272801e-17,-8.189973364208029e-17,251.2677
dense,0.0,1,10,kodak_kodim11,gauss_seidel,np_solve,0.0,1.227413631462846e-16,2.7828026410098788e-08,2.5221882833719304e-08,5501.1546
dense,0.0,1,10,kodak_kodim11,gmres,np_solve,0.0,5.145379425116173e-18,5.730002566982428e-09,4.4344740376793135e-09,391.45709999999997
dense,0.0,1,11,kodak_kodim12,gaussian,np_solve,0.0,-4.880482392129904e-33,-1.0987301442511446e-17,-1.4536546560799823e-17,1363.2974000000002
dense,0.0,1,11,kodak_kodim12,lu,np_solve,0.0,-3.819258777094177e-32,-9.415373982117818e-17,-8.778306982389016e-17,250.04240000000001
dense,0.0,1,11,kodak_kodim12,gauss_seidel,np_solve,0.0,4.808320084012866e-16,3.334844379079678e-08,3.0261451012470274e-08,5342.6748
dense,0.0,1,11,kodak_kodim12,gmres,np_solve,0.0,1.2483669137343063e-17,5.39569952810296e-09,4.104528063937579e-09,375.3207
dense,0.0,1,12,kodak_kodim13,gaussian,np_solve,0.0,-1.542062934881882e-33,-5.9561305043358445e-18,-1.4659223335449716e-17,1325.0378
