matrix_type,solver,solver_family,sigma,cond,sample_count,success_rate,full_convergence_rate,psnr_mean,psnr_std,mse_mean,mse_std,rel_err_mean,rel_err_std,residual_mean,residual_std,time_ms_mean,time_ms_std,time_ms_median,time_ms_iqr,gs_iters_mean,gs_iters_std,gs_hit_max_ratio_mean,gs_hit_max_ratio_std,gmres_iters_mean,gmres_iters_std,gmres_hit_max_ratio_mean,gmres_hit_max_ratio_std
dense,np_solve,baseline,0.07,2.5107067648455232,72,1.0,1.0,50.14246658275146,0.10838853192368215,9.680188595822436e-06,2.3382255694054233e-07,0.006884615993715811,0.001346625116193327,4.691543941178616e-16,5.1500097413346586e-18,6.954569444444444,0.7064964779950466,6.800750000000001,0.26944999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,np_solve,baseline,0.12,2.5107067648455232,72,1.0,1.0,45.45967746898838,0.1101798040163195,2.8455545864692617e-05,6.974988430378458e-07,0.011804734325301864,0.002292665348095379,4.687858243016388e-16,5.113845485542184e-18,6.841876388888888,0.35039567111491554,6.73395,0.31137499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gauss_seidel,iterative,0.0,2.617939524485603,72,1.0,0.16666666666666666,99.0,0.0,6.508447285833331e-17,2.9160157663260365e-17,1.6751201973923105e-08,7.993150688151132e-10,1.5181956247761328e-08,6.824051906671855e-10,3159.48645,413.63645728875713,3217.2153500000004,569.7245250000001,12.60498046875,1.7961748168756626,0.013509114583333334,0.008419873407425617,0.0,0.0,0.0,0.0
sparse,gauss_seidel,iterative,0.01,2.617939524485603,72,1.0,1.0,59.54923657906161,0.09280500458487066,1.109617095877642e-06,2.335828632763265e-08,0.0023289726078933714,0.00045229987064717607,1.5186202295100137e-08,6.889408552180839e-10,2444.426840277778,57.47711218423433,2446.75015,62.85140000000001,9.44552951388889,0.12648166094269156,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gauss_seidel,iterative,0.03,2.617939524485603,72,1.0,1.0,50.02527697579819,0.09433543244055771,9.944243877116027e-06,2.1104838950397815e-07,0.00698012580167473,0.0013769339605743207,1.5183428728511665e-08,7.009541402807327e-10,2395.996138888889,39.237691899924435,2392.7333,47.290500000000065,9.4111328125,0.11949343289857767,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gauss_seidel,iterative,0.07,2.617939524485603,72,1.0,1.0,42.66893214643173,0.12515749343527316,5.4110166071304165e-05,1.4850315076108992e-06,0.016289494266485016,0.0031818134356392572,1.5188542065525143e-08,7.061193681318421e-10,2460.3383388888888,65.92261450126084,2470.7357,98.2573499999994,9.392035590277779,0.11858632847187284,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gauss_seidel,iterative,0.12,2.617939524485603,72,1.0,1.0,37.99875063924406,0.17058389264284793,0.00015865008855070795,5.815722300793561e-06,0.027932099634467536,0.0054592640222582405,1.5150875093898775e-08,7.516483112522872e-10,2381.0171611111114,32.44213582686703,2382.01345,49.36265000000003,9.38156467013889,0.12158494198038232,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gaussian,direct,0.0,2.617939524485603,72,1.0,1.0,99.0,0.0,2.654840748487522e-32,1.1017624599377243e-32,3.415621718512544e-16,4.439882030808814e-18,3.1840788506520144e-16,4.144959752316792e-18,1276.5500916666667,35.312437378534035,1273.2145,47.26887499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gaussian,direct,0.01,2.617939524485603,72,1.0,1.0,59.54923649334403,0.0928050537599425,1.1096171180371949e-06,2.335829867839415e-08,0.002328972638154023,0.0004522998651718379,3.1866686107528277e-16,4.240565995906048e-18,1289.2492583333333,26.959373028133836,1284.3172,33.26342499999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gaussian,direct,0.03,2.617939524485603,72,1.0,1.0,50.02527698787992,0.09433541590671791,9.944243848664709e-06,2.1104835343873565e-07,0.006980125794739904,0.0013769339166332145,3.186936402594627e-16,4.009842737280068e-18,1266.2125222222223,26.238423964619223,1258.6471999999999,31.21282499999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gaussian,direct,0.07,2.617939524485603,72,1.0,1.0,42.66893215727527,0.12515754711793567,5.411016595427176e-05,1.4850321077502457e-06,0.01628949427218507,0.0031818134533445025,3.187160689533606e-16,3.641716305912465e-18,1311.0524402777778,38.92845713565023,1311.905,46.31207499999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gaussian,direct,0.12,2.617939524485603,72,1.0,1.0,37.99875064809429,0.1705839298702508,0.00015865008827642662,5.815723465148801e-06,0.027932099636657857,0.005459264036751825,3.1873271725524487e-16,3.621111744091568e-18,1265.3779194444444,20.388642206224016,1262.83605,31.45852500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,gmres,hybrid,0.0,2.617939524485603,72,1.0,1.0,99.0,0.0,8.82709335573994e-18,3.536929678088133e-18,6.241403492763531e-09,1.353654151209482e-10,5.205709315346673e-09,8.904365102671774e-11,365.32003749999996,13.035436646748387,362.1702,13.262,0.0,0.0,0.0,0.0,15.9990234375,0.0017033258781263996,0.0,0.0
sparse,gmres,hybrid,0.01,2.617939524485603,72,1.0,1.0,59.549236486745876,0.0928050482447327,1.1096171196929167e-06,2.33582972270266e-08,0.002328972639371841,0.0004522998679680502,5.205728171563527e-09,8.901659496847377e-11,369.16569166666665,11.118152214838757,367.5476,15.703475000000026,0.0,0.0,0.0,0.0,15.9990234375,0.0017033258781263996,0.0,0.0
