image_name,matrix_type,solver,sigma,mse_mean,mse_max,mse_median
kodak_kodim01,sparse,np_solve,0.03,1.0022545066022318e-05,1.0038612641244475e-05,1.0019908560778052e-05
kodak_kodim01,sparse,np_solve,0.07,5.373418907915834e-05,5.437810137394687e-05,5.411616096237106e-05
kodak_kodim01,sparse,np_solve,0.12,0.0001621100402194588,0.0001638095826488255,0.00016331546710672643
kodak_kodim02,dense,gauss_seidel,0.0,1.0862306519921328e-16,1.0862306519921328e-16,1.0862306519921328e-16
kodak_kodim02,dense,gauss_seidel,0.01,2.0053997391572377e-07,2.0364531375971377e-07,2.0009808471028063e-07
kodak_kodim02,dense,gauss_seidel,0.03,1.7993176041037755e-06,1.8041864031162014e-06,1.8030110938992829e-06
kodak_kodim02,dense,gauss_seidel,0.07,9.676288777436937e-06,9.79693258174224e-06,9.789964579800813e-06
kodak_kodim02,dense,gauss_seidel,0.12,2.8584268432196104e-05,2.8860573418309165e-05,2.8803044872023572e-05
kodak_kodim02,dense,gaussian,0.0,2.671181285715606e-32,2.671181285715606e-32,2.671181285715606e-32
kodak_kodim02,dense,gaussian,0.01,2.005399066161569e-07,2.036453520716587e-07,2.000979841484635e-07
kodak_kodim02,dense,gaussian,0.03,1.7993176133987426e-06,1.8041864493511145e-06,1.8030111800678143e-06
kodak_kodim02,dense,gaussian,0.07,9.676289248341953e-06,9.79693277634485e-06,9.78996550784001e-06
kodak_kodim02,dense,gaussian,0.12,2.8584269713243106e-05,2.886057600170842e-05,2.880304616469486e-05
kodak_kodim02,dense,gmres,0.0,3.0357597268783367e-18,3.0357597268783367e-18,3.0357597268783367e-18
kodak_kodim02,dense,gmres,0.01,2.0053992552848155e-07,2.0364536671215992e-07,2.0009799756390171e-07
kodak_kodim02,dense,gmres,0.03,1.799317650493528e-06,1.8041864650148448e-06,1.8030112597856855e-06
kodak_kodim02,dense,gmres,0.07,9.676289284463795e-06,9.796932865410501e-06,9.789965471159594e-06
kodak_kodim02,dense,gmres,0.12,2.858426953760538e-05,2.88605756537854e-05,2.8803045819846596e-05
kodak_kodim02,dense,lu,0.0,1.8806228602045648e-32,1.8806228602045645e-32,1.8806228602045645e-32
kodak_kodim02,dense,lu,0.01,2.0053990661615667e-07,2.0364535207165827e-07,2.0009798414846242e-07
kodak_kodim02,dense,lu,0.03,1.7993176133987426e-06,1.8041864493511124e-06,1.8030111800678163e-06
